,Title,Author,book_type,Genre,dir_name
0,An Economist Walks Into A Brothel,Allison Schrager,Audible,non-fiction,2020-07-19-an-economist-walks-into-a-brothel
1,Andrea Vernon and the Superhero-Industrial Complex,Alexander C. Kane,Audible,fiction,2020-02-20-andrea-vernon-and-the-superheroindustrial-complex
2,The Reluctant Mr. Darwin,David Quammen,Audible,non-fiction,2020-09-20-the-reluctant-mr-darwin
3,Indistractable,Nir Eyal,Kindle,non-fiction,2020-01-29-indistractable
4,Spillover - Animal Infections And The Next Human Pandemic,David Quammen,Audible and Kindle,non-fiction,2020-05-20-spillover-animal-infections-and-the-next-human-pandemic
5,Lost Hills,Lee Goldberg,Audible,fiction,2020-01-31-lost-hills
6,The Hate U Give,Angie Thomas,Audible,fiction,2020-07-10-the-hate-u-give
7,Alchemy,Rory Sutherland,Audible,non-fiction,2020-06-29-alchemy
8,Hi Five,Joe Ide,Audible,fiction,2020-02-07-hi-five
9,The Sandman,Neil Gaiman,Audible,fiction,2020-09-29-the-sandman
10,Terminus,Peter Clines,Audible,fiction,2020-03-31-terminus
11,The Motive,Patrick M. Lencioni,Hardcover,fiction,2020-02-29-the-motive
12,The Four Agreements,Don Miguel Ruiz,Paperback,non-fiction,2020-02-03-the-four-agreements
13,The Searcher,Tana French,Audible,fiction,2020-11-02-the-searcher
14,Storm Front,Jim Butcher,Audible,fiction,2020-12-19-storm-front
15,Range,David Epstein,Audible,non-fiction,2020-01-24-range
16,The Shape Of Water,Andrea Camilleri,Audible,fiction,2020-12-06-the-shape-of-water
17,The Art Of Statistics,David Spiegelhalter,Hardcover,non-fiction,2020-01-20-the-art-of-statistics
18,Orconomics,J. Zachary Pike,Audible,fiction,2020-10-12-orconomics
19,Workplace Poker,Dan Rust,Audible,non-fiction,2020-12-31-workplace-poker
20,The Second Sleep,Robert Harris,Audible,fiction,2020-01-27-the-second-sleep
21,Think Like A Rocket Scientist,Ozan Varol,Audible,non-fiction,2020-08-21-think-like-a-rocket-scientist
22,Phreaks,Matthew Derby,Audible,fiction,2020-09-10-phreaks
23,The Law Of Innocence,Michael Connelly,Audible,fiction,2020-11-27-the-law-of-innocence
24,Domain-Specific Knowledge Graph Construction,Mayank Kejriwal,Paperback,non-fiction,2020-02-28-domainspecific-knowledge-graph-construction
25,To Kill A Mockingbird,Harper Lee,Audible,fiction,2020-06-07-to-kill-a-mockingbird
26,Malfuzat - Volume I,Hazrat Mirza Ghulam Ahmad,Hardcover,religious text,2020-09-27-malfuzat--volume-i
27,The Good Turn,Dervla McTiernan,Audible,fiction,2020-08-29-the-good-turn
28,Caffeine - How Caffeine Created the Modern World,Michael Pollan,Audible,fiction,2020-05-21-caffeine-how-caffeine-created-the-modern-world
29,The Roommate,Dervla McTiernan,Audible,fiction,2020-07-23-the-roommate
30,Fair Warning,Michael Connelly,Audible,fiction,2020-06-13-fair-warning
31,Son Of A Liche,J. Zachary Pike,Audible,fiction,2020-11-23-son-of-a-liche
32,The Holy Quran with Arabic Text and English Translation,Maulawi Sher Ali (translator),Hardcover,religious text,2020-09-20-the-holy-quran-with-arabic-text-and-english-translation
33,Skippy Dies,Paul Murray,Audible,fiction,2020-03-04-skippy-dies
