,Title,Author,book_type,Genre,dir_name
0,Algorithms to live by,Brian Christian,Kindle,books,2019-03-05-algorithms-to-live-by
1,The Night Fire,Michael Connelly,Audible and Kindle,books,2019-10-26-the-night-fire
2,The dispatcher,John Scalzi,Audible,books,2019-04-21-the-dispatcher
3,A Keeper,Graham Norton,Audible,books,2019-08-10-a-keeper
4,The Undoing Project,Michael Lewis,Audible,books,2019-12-31-the-undoing-project
5,Thirteen,Steve Cavanagh,Audible,books,2019-09-17-thirteen
6,Rebooting AI,"Gary Marcus, Ernest Davis",Hardcover,books,2019-12-20-rebooting-ai
7,Beyond The Phoenix Project,"Gene Kim, John Willis",Audible,books,2019-04-25-beyond-the-phoenix-project
8,The Unicorn Project,Gene Kim,Hardcover,books,2019-12-01-the-unicorn-project
9,Power Moves,Adam Grant,Audible,books,2019-01-19-power-moves
10,Redshirts,John Scalzi,Audible,books,2019-12-05-redshirts
11,The Obstacle is the Way,Ryan Holiday,Audible,books,2019-12-15-the-obstacle-is-the-way
12,Holding,Graham Norton,Audible,books,2019-02-28-holding
13,Ghettoside - a true story of murder in America,Jill Leovy,Audible,books,2019-02-28-ghettoside-a-true-story-of-murder-in-america
14,Talking to Strangers,Malcolm Gladwell,Audible,books,2019-10-14-talking-to-strangers
15,Unix - A History and a Memoir,Brian W. Kernighan,Paperback,books,2019-11-08-unix-a-history-and-a-memoir
16,Sakina's Restaurant,Aasif Mandvi,Audible,books,2019-04-01-sakinas-restaurant
17,A Mind Of Her Own,Paula McLain,Audible,books,2019-04-13-a-mind-of-her-own
18,The Sisters,Dervla McTiernan,Audible,books,2019-11-23-the-sisters
19,A knight of the seven kingdoms,George R.R. Martin,Audible,books,2019-04-02-a-knight-of-the-seven-kingdoms
20,The Ruin,Dervla McTiernan,Audible,books,2019-11-22-the-ruin
21,Wrecked,Joe Ide,Audible,books,2019-03-01-wrecked
22,Educated,Tara Westover,Audible,books,2019-04-19-educated
23,Thinking in systems - a primer,Donella H. Meadows,Kindle,books,2019-08-20-thinking-in-systems-a-primer
24,Recursion,Blake Crouch,Audible,books,2019-06-19-recursion
25,Cryptonomicon,Neal Stephenson,Audible,books,2019-06-01-cryptonomicon
26,Have a Nice Day,"Billy Crystal,  Quinton Peeples",Audible,books,2019-10-25-have-a-nice-day
27,The Killer Collective,Barry Eisler,Kindle,books,2019-02-01-the-killer-collective
28,Level 5,William Ledbetter,Audible,books,2019-10-20-level-5
29,Project To Product,Mik Kersten,Kindle,books,2019-05-31-project-to-product
30,The Scholar,Dervla McTiernan,Audible,books,2019-11-24-the-scholar
31,Understanding Complexity,Scott E. Page,Audible,books,2019-11-14-understanding-complexity
32,The half has never been told,Edward E. Baptist,Audible and Kindle,books,2019-04-08-the-half-has-never-been-told
33,Atomic Habits - An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Audible,books,2019-12-10-atomic-habits-an-easy--proven-way-to-build-good-habits--break-bad-ones
34,"Millions, Billions, Zillions",Brian W. Kernighan,Hardcover,books,2019-11-08-millions-billions-zillions
35,Righteous,Joe Ide,Audible,books,2019-01-05-righteous
