Title,Author,book_type,Genre,My Rating,dir_name
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Audible,fiction,3,2023-12-12-tomorrow-and-tomorrow-and-tomorrow
Conflicted: How Productive Disagreements Lead to Better Outcomes,Ian Leslie,Audible,non-fiction,3,2023-12-03-conflicted
Crucial Conversations: Tools for Talking When Stakes Are High,Kerry Patterson,Audible,non-fiction,4,2023-11-30-crucial-conversations
I Never Thought of It That Way,Monica Guzmán,Hardcover,non-fiction,4,2023-11-24-i-never-thought-of-it-that-way
It's Your Ship: Management Techniques from the Best Damn Ship in the Navy,D. Michael Abrashoff,Audible,non-fiction,3,2023-11-19-it's-your-ship
"Resurrection Walk (The Lincoln Lawyer, #7; Harry Bosch Universe, #37)",Michael Connelly,Audible,non-fiction,4,2023-11-14-resurrection-walk
Hero on a Mission: A Path to a Meaningful Life,Donald Miller,Hardcover,non-fiction,3,2023-11-08-hero-on-a-mission
"The Ink Black Heart (Cormoran Strike, #6)",Robert Galbraith,Audible,fiction,3,2023-11-05-the-ink-black-heart
Discipline Is Destiny: The Power of Self-Control,Ryan Holiday,Hardcover,non-fiction,4,2023-10-01-discipline-is-destiny
Number Go Up: Inside Crypto's Wild Rise and Staggering Fall,Zeke Faux,Audible,non-fiction,3,2023-10-15-number-go-up
The Making of Another Major Motion Picture Masterpiece,Tom Hanks,Audible,fiction,3,2023-10-01-the-making-of-another-major-motion-picture-masterpiece
Someone Like Her,Awais Khan,Paperback,fiction,3,2023-09-24-someone-like-her
The Long Game: How to Be a Long-Term Thinker in a Short-Term World,Dorie Clark,Kindle,non-fiction,3,2023-09-25-the-long-game
Stolen Thoughts (Watch What You Wish For #2),Tim Tigner,Audible,fiction,3,2023-09-23-stolen-thoughts
The Fireground,Dervla McTiernan,Audible,fiction,2,2023-09-14-the-fireground
"A Death in Door County (Monster Hunter Mystery, #1)",Annelise Ryan,Audible,fiction,3,2023-09-14-a-death-in-door-county
How the World Really Works: The Science Behind How We Got Here and Where We're Going,Vaclav Smil,Hardcover,non-fiction,4,2023-09-08-how-the-world-really-works
The Things We Make: The Unknown History of Invention from Cathedrals to Soda Cans,Bill Hammack,Audible,non-fiction,3,2023-09-05-the-things-we-make
Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,Mark Miodownik,Audible,non-fiction,3,2023-09-05-stuff-matters
Rememberings,Sinéad O'Connor,Audible,non-fiction,4,2023-09-05-rememberings
"The Black Echo: Special Edition (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael Connelly,Audible,fiction,4,2023-07-21-the-black-echo
Confessions of a Recovering Engineer: Transportation for a Strong Town,Charles L. Marohn Jr.,Hardcover,non-fiction,4,2023-07-20-confessions-of-a-recovering-engineer
You're Not Listening: What You're Missing and Why It Matters,Kate   Murphy,Audible,non-fiction,3,2023-07-08-you're-not-listening
The Siege of Mecca: The Forgotten Uprising in Islam's Holiest Shrine and the Birth of Al Qaeda,Yaroslav Trofimov,Audible,non-fiction,4,2023-06-11-the-siege-of-mecca
"Surrender: 40 Songs, One Story",Bono,Audible,non-fiction,4,2023-05-03-surrender
Tracers in the Dark: The Global Hunt for the Crime Lords of Cryptocurrency,Andy Greenberg,Audible,non-fiction,4,2023-03-07-tracers-in-the-dark
Smart Brevity: The Power of Saying More with Less,Jim Vandehei,Hardcover,non-fiction,4,2023-06-08-smart-brevity
Rewinder (Rewinder #1),Brett Battles,Kindle,fiction,3,2023-06-07-rewinder
"Fixit (IQ, #6)",Joe Ide,Hardcover,fiction,3,2023-05-28-fixit
The Opposable Mind: How Successful Leaders Win Through Integrative Thinking,Roger L. Martin,Hardcover,non-fiction,3,2023-05-31-the-opposable-mind
The End of the Affair,Graham Greene,Audible,fiction,2,2023-05-28-the-end-of-the-affair
The Midnight Library,Matt Haig,Hardcover,fiction,3,2023-05-22-the-midnight-library
Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,Audible,non-fiction,3,2023-05-20-build
And Finally: Matters of Life and Death,Henry Marsh,Hardcover,non-fiction,3,2023-05-16-and-finally
"The Plea (Eddie Flynn, #2)",Steve Cavanagh,Paperback,fiction,3,2023-05-07-the-plea
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,Paperback,non-fiction,4,2023-02-06-the-righteous-mind
V2: A Novel of World War II,Robert   Harris,Audible,fiction,3,2023-04-13-v2
The Reading List,Sara Nisha Adams,Hardcover,fiction,3,2023-04-05-the-reading-list
Matterhorn,Karl Marlantes,Paperback,fiction,4,2023-03-14-matterhorn
Unmarriageable,Soniah Kamal,Audible,fiction,4,2023-03-13-unmarriageable
Dickens and Prince,Hornby  Nick,Hardcover,non-fiction,3,2023-03-11-dickens-and-prince
Narconomics: How to Run a Drug Cartel,Tom Wainwright,Audible,non-fiction,3,2023-02-25-narconomics
The Night Agent,Matthew Quirk,Kindle,fiction,2,2023-02-07-the-night-agent
When: The Scientific Secrets of Perfect Timing,Daniel H. Pink,Audible,non-fiction,3,2023-01-29-when
Stolen Focus: Why You Can't Pay Attention,Johann Hari,Paperback,non-fiction,4,2023-02-02-stolen-focus
Critical Chain: Project Management and the Theory of Constraints,Eliyahu M. Goldratt,Audible,non-fiction,3,2023-01-29-critical-chain
"Reamde (Crypto, #2)",Neal Stephenson,Hardcover,fiction,3,2023-01-22-reamde
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,Hardcover,non-fiction,4,2023-01-22-four-thousand-weeks
The 6 Types of Working Genius,Patrick Lencioni,Hardcover,non-fiction,4,2023-12-05-the-6-types-of-working-genius
Turn the Ship Around!: A True Story of Turning Followers into Leaders,L. David Marquet,Kindle,non-fiction,5,2023-11-09-turn-the-ship-around
