Title,Author,book_type,Genre,My Rating,dir_name
The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,Gregory Zuckerman,Audible,non-fiction,4,2024-01-13-the-man-who-solved-the-market
"Dragonfired (The Dark Profit Saga, #3)",J. Zachary Pike,ebook,fiction,3,2024-01-13-dragonfired
"The Running Grave (Cormoran Strike, #7)",Robert Galbraith,Audible,fiction,4,2024-01-22-the-running-grave
A Man for All Markets,Edward O. Thorp,Audible,non-fiction,4,2024-02-13-a-man-for-all-markets
Forever Home: A Novel,Graham Norton,Audible,fiction,3,2024-02-18-forever-home
The Plinko Bounce,Martin   Clark,Audible,fiction,3,2024-03-08-the-plinko-bounce
The Hunter (Cal Hooper #2),Tana French,Audible,fiction,4,2024-03-21-the-hunter
Knowledge And Decisions,Thomas Sowell,Audible,non-fiction,4,2024-03-27-knowledge-and-decisions
"Slow Horses (Slough House, #1)",Mick Herron,Audible,fiction,4,2024-04-03-slow-horses
Supercommunicators: The Power of Conversation and Hidden Language of Connection,Charles Duhigg,Audible,non-fiction,3,2024-04-08-supercommunicators
"Deming's Journey to Profound Knowledge: How Deming Helped Win a War, Altered the Face of Industry, and Holds the Key to Our Future",John Willis,Kindle,non-fiction,3,2024-04-08-demings-journey-to-profound-knowledge
Judgment,Joseph Finder,Audible,fiction,3,2024-04-21-judgment
Leadership Is Language: The Hidden Power of What You Say-and What You Don't,L. David Marquet,Audible,non-fiction,4,2024-04-28-leadership-is-language
MBS: The Rise to Power of Mohammed bin Salman,Ben  Hubbard,Audible,non-fiction,3,2024-04-28-mbs
"The Spider Network: The Wild Story of a Math Genius, a Gang of Backstabbing Bankers, and One of the Greatest Scams in Financial History",David Enrich,Audible,non-fiction,4,2024-05-16-the-spider-network
How to Listen: Discover the Hidden Key to Better Communication,Oscar Trimboli,Audible,non-fiction,3,2024-05-16-how-to-listen
"War and Peace and IT: Business Leadership, Technology, and Success in the Digital Age",Mark Schwartz,Kindle,non-fiction,3,2024-05-17-war-and-peace-and-it
"Dead Lions (Slough House, #2)",Mick Herron,Audible,fiction,4,2024-05-19-dead-lions
Listen for the Lie,Amy Tintera,Audible,fiction,4,2024-05-25-listen-for-the-lie
How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David  Brooks,Audible,non-fiction,4,2024-05-28-how-to-know-a-person
The Lost Cause,Cory Doctorow,Hardcover,fiction,3,2024-06-01-the-lost-cause
"Real Tigers (Slough House, #3)",Mick Herron,Audible,fiction,4,2024-06-06-real-tigers
"Spook Street (Slough House, #4)",Mick Herron,Audible,fiction,4,2024-06-16-spook-street
Hello World: Being Human in the Age of Algorithms,Hannah Fry,Audible,non-fiction,3,2024-06-20-hello-world
"London Rules (Slough House, #5)",Mick Herron,Audible,fiction,4,2024-06-25-london-rules
Hidden Potential: The Science of Achieving Greater Things,Adam M. Grant,Hardcover,non-fiction,4,2024-01-22-hidden-potential
"Joe Country (Slough House, #6)",Mick Herron,Audible,fiction,4,2024-07-04-joe-country
"Slough House (Slough House, #7)",Mick Herron,Audible,fiction,4,2024-07-11-slough-house
"Bad Actors (Slough House, #8)",Mick Herron,Audible,fiction,4,2024-07-14-bad-actors
The Secret Hours,Mick Herron,Audible,fiction,4,2024-07-20-the-secret-hours
"Influence Is Your Superpower: The Science of Winning Hearts, Sparking Change, and Making Good Things Happen",Zoe Chance,Audible,non-fiction,3,2024-07-24-influence-is-your-superpower
Standing by the Wall: The Collected Slough House Novellas,Mick Herron,Audible,fiction,3,2024-07-22-standing-by-the-wall
Funny Story,Emily Henry,Audible,fiction,3,2024-08-14-funny-story
Clear Thinking: Turning Ordinary Moments into Extraordinary Results,Shane Parrish,Audible,non-fiction,3,2024-08-18-clear-thinking
A Quantum Love Story,Mike Chen,Audible,fiction,3,2024-08-21-a-quantum-love-story
What Happened to Nina?,Dervla McTiernan,Audible,fiction,3,2024-08-24-what-happened-to-nina
The Prosperity Paradox: How Innovation Can Lift Nations Out of Poverty,Clayton M. Christensen,Audible,non-fiction,4,2024-08-29-the-prosperity-paradox
"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,Audible,non-fiction,3,2024-09-07-why-fish-dont-exist
Under the Tamarind Tree,Nigar  Alam,Audible,fiction,3,2024-09-07-under-the-tamarind-tree
SS-GB,Len Deighton,Audible,fiction,4,2024-09-17-ss-gb
"The Hundred Years' War on Palestine: A History of Settler-Colonial Conquest and Resistance, 1917-2017",Rashid Khalidi,Audible,non-fiction,4,2024-09-17-the-hundred-years-war-on-palestine
"Difficult Conversations Don't Have to Be Difficult: A Simple, Smart Way to Make Your Relationships and Team Better (Jon Gordon)",Jon Gordon,Audible,non-fiction,3,2024-09-18-difficult-conversations-dont-have-to-be-difficult
Glucose Revolution: The Life-Changing Power of Balancing Your Blood Sugar,Jessie Inchauspe,Audible,non-fiction,4,2024-09-22-glucose-revolution
Such Big Dreams,Reema  Patel,Audible,fiction,4,2024-10-01-such-big-dreams
All the Sinners Bleed,S.A. Cosby,Audible,fiction,3,2024-10-07-all-the-sinners-bleed
Authentic Gravitas: Who Stands Out and Why,Rebecca Newton,Audible,non-fiction,3,2024-10-14-authentic-gravitas
"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession",Michael Finkel,Audible,non-fiction,4,2024-10-15-the-art-thief
Simply Said: Communicating Better at Work and Beyond,Jay Sullivan,Audible,non-fiction,4,2024-10-19-simply-said
American Spy,Lauren Wilkinson,Audible,fiction,2,2024-10-24-american-spy
"The Waiting (Renee Ballard, #6; Harry Bosch, #25; Harry Bosch Universe, #39)",Michael    Connelly,Audible,fiction,4,2024-10-31-the-waiting
2034: A Novel of the Next World War,Elliot Ackerman,Audible,fiction,3,2024-11-10-2034
Muslims Don't Matter,Sayeeda Warsi,Hardcover,non-fiction,4,2024-11-12-muslims-dont-matter
Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,Hardcover,non-fiction,3,2024-12-21-trillion-dollar-coach
The Plot Against America,Philip Roth,Paperback,fiction,3,2024-12-21-the-plot-against-america
Run,Blake Crouch,Audible,fiction,4,2024-12-09-run
Precipice,Robert   Harris,Hardcover,fiction,3,2024-12-04-precipice
The Trading Game: A Confession,Gary  Stevenson,Hardcover,non-fiction,4,2024-11-26-the-trading-game
"Revenge of the Tipping Point: Overstories, Superspreaders, and the Rise of Social Engineering",Malcolm Gladwell,Hardcover,non-fiction,4,2024-11-19-revenge-of-the-tipping-point
